,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
35,20.0,0.0,core,0.6000000000000001,-722.0432891060699,1.0,5.0,2.0,11.0,120.0
36,5.0,3.0,core,0.6000000000000001,-722.0432891060699,10.0,1.0,5.0,16.0,90.0
37,5.0,3.0,core,1.0,-512.14903460748,10.0,0.0,8.0,15.0,180.0
38,50.0,0.0,core,0.30000000000000004,-102.28974519001999,0.0,100.0,8.0,7.0,135.0
39,50.0,1.0,core,0.9,-102.28974519001999,10.0,10.0,3.0,23.0,180.0
40,10.0,2.0,tail,0.0,-205.85360736638,100.0,100.0,5.0,20.0,135.0
41,10.0,2.0,core,0.2,-251.53178614245,10.0,0.0,4.0,14.0,120.0
42,5.0,2.0,core,0.2,-103.64213697227,1.0,100.0,4.0,12.0,90.0
43,20.0,0.0,core,0.7000000000000001,-958.2567020916999,10.0,5.0,7.0,5.0,135.0
44,10.0,2.0,core,0.6000000000000001,-82.932340836886,100.0,100.0,3.0,15.0,90.0
45,50.0,2.0,tail,0.1,-789.7228690255499,100.0,10.0,4.0,6.0,135.0
46,20.0,2.0,core,0.6000000000000001,-1166.6101601994,100.0,100.0,8.0,12.0,135.0
47,20.0,1.0,tail,0.8,-983.12211348931,10.0,0.0,7.0,10.0,90.0
48,5.0,3.0,tail,1.0,-1268.4591363898,10.0,100.0,3.0,8.0,135.0
49,50.0,3.0,core,0.7000000000000001,-313.3990039614,5.0,10.0,8.0,7.0,180.0
50,5.0,0.0,tail,0.30000000000000004,-755.29545636381,100.0,0.0,8.0,21.0,120.0
51,10.0,1.0,core,0.2,-704.24885640578,0.0,10.0,3.0,13.0,90.0
52,50.0,2.0,core,0.2,-443.52819184977994,5.0,1.0,3.0,18.0,135.0
53,50.0,3.0,tail,1.0,-73.756045830306,5.0,5.0,7.0,19.0,180.0
54,5.0,3.0,tail,0.8,-62.624447036202,10.0,0.0,5.0,13.0,120.0
55,20.0,2.0,core,0.6000000000000001,-111.29101941619,5.0,1.0,4.0,25.0,90.0
56,10.0,2.0,core,0.4,-874.36200134463,10.0,10.0,5.0,14.0,120.0
57,10.0,3.0,core,0.6000000000000001,-1094.1617161323,100.0,100.0,5.0,9.0,90.0
58,20.0,2.0,core,1.0,-67.554285703056,0.0,1.0,6.0,22.0,120.0
59,10.0,3.0,tail,0.4,-1217.3204899814,5.0,100.0,7.0,5.0,120.0
60,20.0,2.0,tail,0.7000000000000001,-51.337900931642,5.0,10.0,6.0,15.0,135.0
61,50.0,2.0,tail,0.8,-502.01601007562004,1.0,10.0,3.0,21.0,180.0
62,50.0,2.0,core,0.5,-99.036069816212,0.0,5.0,5.0,16.0,90.0
63,5.0,2.0,tail,0.5,-56.01417540770701,10.0,100.0,4.0,12.0,135.0
64,50.0,1.0,tail,0.2,-211.2293974666,100.0,0.0,5.0,9.0,90.0
65,20.0,0.0,tail,0.7000000000000001,-75.15976978229,1.0,100.0,6.0,20.0,90.0
66,50.0,3.0,core,0.30000000000000004,-725.45065500574,100.0,1.0,6.0,8.0,180.0
67,10.0,2.0,core,0.4,-79.403387926966,10.0,10.0,3.0,23.0,135.0
68,50.0,0.0,core,0.8,-1241.1611547060002,1.0,10.0,5.0,25.0,120.0
69,50.0,0.0,core,0.2,-307.75094339852,10.0,10.0,4.0,20.0,120.0
70,5.0,0.0,tail,0.0,-698.55123338638,100.0,5.0,3.0,15.0,90.0
71,20.0,0.0,core,0.30000000000000004,-375.66230640676,0.0,100.0,6.0,22.0,180.0
72,5.0,0.0,tail,0.2,-75.774920192102,5.0,100.0,6.0,15.0,120.0
73,50.0,1.0,core,1.0,-633.35718835849,10.0,0.0,8.0,11.0,135.0
74,10.0,0.0,core,0.9,-40.592547163389,0.0,10.0,8.0,17.0,180.0
75,10.0,0.0,core,0.1,-627.01305427959,100.0,5.0,8.0,18.0,90.0
76,10.0,2.0,tail,0.1,-627.01305427959,0.0,0.0,6.0,22.0,90.0
77,10.0,0.0,tail,0.6000000000000001,-1895.9434565487,10.0,100.0,3.0,22.0,135.0
78,20.0,1.0,core,0.6000000000000001,-1353.7704291539,0.0,5.0,4.0,17.0,120.0
79,20.0,1.0,tail,0.7000000000000001,-86.01649282426399,10.0,10.0,7.0,23.0,120.0
80,50.0,1.0,core,0.9,-45.904062981337994,0.0,0.0,7.0,8.0,180.0
81,20.0,3.0,core,0.4,-45.904062981337994,1.0,0.0,6.0,25.0,90.0
82,50.0,1.0,core,0.0,-43.588896173627006,1.0,0.0,7.0,16.0,90.0
83,50.0,1.0,core,0.30000000000000004,-767.7672329691001,1.0,5.0,5.0,21.0,180.0
84,20.0,2.0,tail,0.1,-65.982795204301,5.0,10.0,8.0,21.0,180.0
85,50.0,2.0,core,0.9,-3055.0998437540998,0.0,1.0,4.0,19.0,135.0
86,5.0,1.0,core,0.8,-48.480111298131,1.0,10.0,4.0,12.0,135.0
87,20.0,0.0,tail,0.1,-529.21105372887,1.0,100.0,4.0,20.0,135.0
88,50.0,3.0,core,1.0,-572.0520279007,100.0,100.0,8.0,15.0,180.0
89,50.0,3.0,tail,0.8,-1005.2516199674001,10.0,10.0,4.0,15.0,135.0
90,50.0,2.0,tail,0.5,-89.913523937545,0.0,0.0,6.0,13.0,120.0
91,20.0,0.0,core,0.0,-101.42048347299999,5.0,0.0,3.0,8.0,120.0
92,5.0,3.0,core,0.0,-68.68161396081899,10.0,100.0,3.0,18.0,135.0
93,20.0,3.0,core,0.30000000000000004,-72.858453054165,5.0,100.0,8.0,12.0,180.0
94,50.0,1.0,core,0.8,-46.606945158576,100.0,10.0,8.0,19.0,135.0
95,20.0,2.0,core,0.5,-29.293569271676997,100.0,5.0,7.0,20.0,180.0
